,id_emision,id_pais,emision_co2,intensidad_carbono
453,E-MYS-1982,MYS,55.5274256082271,
454,E-MDV-1982,MDV,0.02776,
455,E-MLI-1982,MLI,1.2,
456,E-MLT-1982,MLT,2.8562484995572492,
457,E-MTQ-1982,MTQ,1.2,
458,E-MRT-1982,MRT,1.225579245664421,
459,E-MUS-1982,MUS,1.6,
460,E-MEX-1982,MEX,414.34880980620926,
461,E-MNG-1982,MNG,21.98438860404378,
462,E-MSR-1982,MSR,0.03874,
463,E-MAR-1982,MAR,27.39499867379991,
464,E-MOZ-1982,MOZ,3.2,
465,E-NRU-1982,NRU,0.2,
466,E-NPL-1982,NPL,0.7966674000669025,
467,E-NLD-1982,NLD,317.7500728984968,
468,E-ANT-1982,ANT,30.0,
469,E-NCL-1982,NCL,3.3923372744602593,
470,E-NZL-1982,NZL,33.65466395046455,
471,E-NIC-1982,NIC,3.8,
472,E-NER-1982,NER,1.3180580336972825,
473,E-NGA-1982,NGA,65.20579932204333,
474,E-NIU-1982,NIU,0.00562,
475,E-PRK-1982,PRK,180.2296493684602,
476,E-MNP-1982,MNP,0.0,
477,E-NOR-1982,NOR,50.933591625641355,
478,E-OMN-1982,OMN,8.26632178,
479,E-PAK-1982,PAK,71.82798365404756,
480,E-PAN-1982,PAN,10.4,
481,E-PNG-1982,PNG,3.4,
482,E-PRY-1982,PRY,2.6,
483,E-PER-1982,PER,44.84612361390142,
484,E-PHL-1982,PHL,62.18246600401305,
485,E-POL-1982,POL,738.7409321501973,
486,E-PRT-1982,PRT,35.66673959603882,
487,E-PRI-1982,PRI,27.93904666825253,
488,E-QAT-1982,QAT,22.64280362,
489,E-REU-1982,REU,1.2,
490,E-ROU-1982,ROU,335.2910532020269,
491,E-RWA-1982,RWA,0.8,
492,E-SHN-1982,SHN,0.00554,
493,E-KNA-1982,KNA,0.10678,
494,E-LCA-1982,LCA,0.17556,
495,E-SPM-1982,SPM,0.2,
496,E-WSM-1982,WSM,0.19886,
497,E-STP-1982,STP,0.06412,
498,E-SAU-1982,SAU,256.66077224,
499,E-SEN-1982,SEN,4.8,
500,E-SYC-1982,SYC,0.4,
501,E-SLE-1982,SLE,1.4,
502,E-SGP-1982,SGP,62.038433102463244,
503,E-SVK-1982,SVK,0.0,
504,E-SLB-1982,SLB,0.2,
505,E-SOM-1982,SOM,2.6,
506,E-ZAF-1982,ZAF,494.16772589801036,
507,E-KOR-1982,KOR,292.5051175321943,
508,E-ESP-1982,ESP,388.92989907765843,
509,E-LKA-1982,LKA,9.8,
510,E-SDN-1982,SDN,6.406405517577207,
511,E-SUR-1982,SUR,3.6,
512,E-SWE-1982,SWE,143.08627213354157,
513,E-CHE-1982,CHE,76.32751090955618,
514,E-SYR-1982,SYR,34.91752958573162,
515,E-TWN-1982,TWN,128.0514418541064,
516,E-TZA-1982,TZA,4.4,
517,E-THA-1982,THA,67.93169586354024,
518,E-TGO-1982,TGO,1.0,
519,E-TON-1982,TON,0.08572,
520,E-TTO-1982,TTO,20.1819631,
521,E-TUN-1982,TUN,18.68494841364297,
522,E-TUR-1982,TUR,122.0055233577341,
523,E-TCA-1982,TCA,0.0,
524,E-TUV-1982,TUV,0.0,
525,E-UGA-1982,UGA,0.8,
526,E-ARE-1982,ARE,54.88748844,
527,E-GBR-1982,GBR,1126.6666661939369,
528,E-USA-1982,USA,9273.262938,
529,E-URY-1982,URY,10.40873046356635,
530,E-VUT-1982,VUT,0.2,
531,E-VEN-1982,VEN,195.6933595756543,
532,E-VNM-1982,VNM,21.514858563839397,
533,E-ESH-1982,ESH,0.4,
