,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
626,C-BGD-2007,BGD,,,-18.389,10.351,4.919,6.774,153.364,0.0,2.118,,0.0,-5.44,44.559,66.667,0.025,0.0,0.005
627,C-BGD-2008,BGD,,,5.262,10.896,4.894,6.782,163.764,26.836,2.67,,0.0,1.6,45.273,68.889,0.043,81.25,0.008
628,C-BGD-2009,BGD,,,24.952,13.615,5.565,14.474,187.467,-56.105,1.165,,0.0,-6.496,42.332,65.132,0.07,75.862,0.014
629,C-BGD-2010,BGD,,,-36.277,8.676,3.463,2.704,192.537,74.82,2.023,,0.0,11.408,47.161,76.494,0.123,0.0,0.014
630,C-BGD-2011,BGD,,,48.869,12.916,4.744,1.706,195.821,19.616,2.406,,0.0,29.222,60.942,31.828,0.161,0.0,0.014
631,C-BGD-2012,BGD,,,-17.486,10.657,3.656,8.958,213.363,-10.894,2.13,,0.0,6.721,65.038,55.651,0.249,0.0,0.014
632,C-BGD-2013,BGD,,,38.443,14.754,4.913,2.889,219.528,-6.258,1.985,,0.0,-2.099,63.673,42.534,0.353,-0.373,0.014
633,C-BGD-2014,BGD,,,-39.994,8.853,2.832,4.872,230.223,-22.231,1.535,,0.0,12.28,71.492,28.854,0.452,0.0,0.014
634,C-BGD-2015,BGD,,,197.65,26.352,7.249,12.3,258.541,58.556,2.419,,0.0,5.838,75.666,18.834,0.534,0.0,0.014
635,C-BGD-2016,BGD,,,-26.515,19.365,5.238,2.309,264.509,-1.505,2.368,,0.0,9.442,82.81,10.893,0.589,0.0,0.014
636,C-BGD-2017,BGD,,,12.196,21.727,5.656,0.536,265.927,16.379,2.74,,0.0,12.377,93.059,15.165,0.674,0.0,0.014
637,C-BGD-2018,BGD,,,9.572,23.806,5.851,3.145,274.29,-15.941,2.29,,0.0,13.641,105.754,8.568,0.728,0.0,0.013
638,C-BGD-2019,BGD,,,61.911,38.545,8.517,12.78,309.344,-4.89,2.17,,0.0,-3.889,101.641,19.077,0.863,0.0,0.013
639,C-BGD-2020,BGD,,,12.957,43.539,9.922,-3.294,299.153,-14.873,1.84,,0.0,-8.279,93.226,19.095,1.024,0.274,0.013
640,C-BGD-2021,BGD,,,-12.363,38.156,8.307,4.059,311.296,-2.684,1.784,,,14.684,106.915,15.535,1.179,-0.273,0.013
641,C-BRB-1980,BRB,,,,,,,,,,,,,,,,,
642,C-BRB-1981,BRB,,,,,,,,,,,,,,,,,
643,C-BRB-1982,BRB,,,,,,,,,,,,,,,,,
644,C-BRB-1983,BRB,,,,,,,,,,,,,,,,,
645,C-BRB-1984,BRB,,,,,,,,,,,,,,,,,
646,C-BRB-1985,BRB,,,,,,,,,,,,,,,,,
647,C-BRB-1986,BRB,,,,,,,,,,,,,,,,,
648,C-BRB-1987,BRB,,,,,,,,,,,,,,,,,
649,C-BRB-1988,BRB,,,,,,,,,,,,,,,,,
650,C-BRB-1989,BRB,,,,,,,,,,,,,,,,,
651,C-BRB-1990,BRB,,,,,,,,,,,,,,,,,
652,C-BRB-1991,BRB,,,,,,,,,,,,,,,,,
653,C-BRB-1992,BRB,,,,,,,,,,,,,,,,,
654,C-BRB-1993,BRB,,,,,,,,,,,,,,,,,
655,C-BRB-1994,BRB,,,,,,,,,,,,,,,,,
656,C-BRB-1995,BRB,,,,,,,,,,,,,,,,,
657,C-BRB-1996,BRB,,,,,,,,,,,,,,,,,
658,C-BRB-1997,BRB,,,,,,,,,,,,,,,,,
659,C-BRB-1998,BRB,,,,,,,,,,,,,,,,,
660,C-BRB-1999,BRB,,,,,,,,,,,,,,,,,
661,C-BRB-2000,BRB,,,,,,,,,,,,,,,,,
662,C-BRB-2001,BRB,,,,,,,,,,,,,,,,,
663,C-BRB-2002,BRB,,,,,,,,,,,,,,,,,
664,C-BRB-2003,BRB,,,,,,,,,,,,,,,,,
665,C-BRB-2004,BRB,,,,,,,,,,,,,,,,,
666,C-BRB-2005,BRB,,,,,,,,,,,,,,,,,
667,C-BRB-2006,BRB,,,,,,,,,,,,,,,,,
668,C-BRB-2007,BRB,,,,,,,,,,,,,,,,,
669,C-BRB-2008,BRB,,,,,,,,,,,,,,,,,
670,C-BRB-2009,BRB,,,,,,,,,,,,,,,,,
671,C-BRB-2010,BRB,,,,,,,,,,,,,,,,,
672,C-BRB-2011,BRB,,,,,,,,,,,,,,,,,
673,C-BRB-2012,BRB,,,,,,,,,,,,,,,,,
674,C-BRB-2013,BRB,,,,,,,,,,,,,,,,,
675,C-BRB-2014,BRB,,,,,,,,,,,,,,,,,
676,C-BRB-2015,BRB,,,,,,,,,,,,,,,,,
677,C-BRB-2016,BRB,,,,,,,,,,,,,,,,,
678,C-BRB-2017,BRB,,,,,,,,,,,,,,,,,
679,C-BRB-2018,BRB,,,,,,,,,,,,,,,,,
680,C-BRB-2019,BRB,,,,,,,,,,,,,,,,,
681,C-BRB-2020,BRB,,,,,,,,,,,,,,,,,
682,C-BLR-1985,BLR,,,,25.112,6.154,,86.532,,0.059,,0.0,,296.34,,,,
683,C-BLR-1986,BLR,,,9.396,27.472,5.897,1.915,88.189,0.0,0.059,,0.0,18.147,350.119,,,,
684,C-BLR-1987,BLR,,,-2.771,26.711,5.652,12.875,99.543,0.0,0.059,,0.0,-1.089,346.306,,,,
685,C-BLR-1988,BLR,,,7.135,28.616,5.969,15.789,115.26,0.0,0.059,,0.0,-3.129,335.469,,,,
686,C-BLR-1989,BLR,,,-1.831,28.092,6.059,5.311,121.382,0.0,0.059,,0.0,-6.362,314.127,,,,
687,C-BLR-1990,BLR,,,-12.039,24.71,5.303,6.544,129.325,0.0,0.059,,0.0,-0.716,311.878,,0.0,,0.0
688,C-BLR-1991,BLR,,,-5.006,23.473,5.049,4.658,135.349,-10.0,0.053,,0.0,-1.875,306.031,,0.0,,0.0
689,C-BLR-1992,BLR,,,-16.713,19.55,4.849,16.128,157.178,-5.556,0.05,,0.0,-26.028,226.377,,0.0,,0.0
690,C-BLR-1993,BLR,,,-14.118,16.79,4.981,-7.218,145.833,11.765,0.056,,0.0,-22.946,174.433,,0.0,,0.0
691,C-BLR-1994,BLR,,,-29.936,11.764,4.174,-12.581,127.486,0.0,0.056,,0.0,-18.302,142.508,,0.0,,0.0
692,C-BLR-1995,BLR,,,-5.898,11.07,4.415,-9.59,115.26,5.263,0.059,,0.0,-12.765,124.317,,0.0,,0.0
693,C-BLR-1996,BLR,,,21.361,13.435,5.225,5.311,121.382,-20.0,0.047,,0.0,-1.643,122.274,,0.0,,0.0
694,C-BLR-1997,BLR,,,5.378,14.157,5.443,14.383,138.84,31.25,0.062,,0.0,-12.458,107.041,,0.0,,0.0
695,C-BLR-1998,BLR,,,-11.255,12.564,4.94,1.261,140.591,33.333,0.083,,0.0,-5.538,101.113,,0.0,,0.0
696,C-BLR-1999,BLR,,,-7.222,11.656,4.711,1.864,143.212,-32.143,0.056,,0.0,-8.526,92.492,,0.0,,0.0
697,C-BLR-2000,BLR,,,-0.727,11.572,4.537,6.092,151.936,42.105,0.08,,,-1.102,91.472,,0.0,,0.0
698,C-BLR-2001,BLR,,,-28.2,8.309,3.351,-0.573,151.066,11.111,0.088,,,-3.252,88.498,,0.0,,0.0
699,C-BLR-2002,BLR,,,-5.67,7.837,3.055,2.888,155.428,-3.333,0.085,,,5.287,93.176,,0.0,,0.0
700,C-BLR-2003,BLR,,,-5.878,7.377,2.898,-1.686,152.807,-3.448,0.081,,,1.229,94.322,,0.0,,0.0
701,C-BLR-2004,BLR,,,-2.045,7.226,2.535,21.293,185.344,17.857,0.095,,,-2.024,92.413,,0.0,,0.003
702,C-BLR-2005,BLR,,,10.433,7.98,2.808,2.527,190.027,9.091,0.103,,,-6.899,86.038,,0.0,-1.0,0.003
