,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
136,G-ASM-1992,ASM,49900.0,,,,,,,,,,,,,,,,,,,
137,G-ASM-1993,ASM,51025.0,,,,,,,,,,,,,,,,,,,
138,G-ASM-1994,ASM,52099.0,,,,,,,,,,,,,,,,,,,
139,G-ASM-1995,ASM,53158.0,,,,,,,,,,,,,,,,,,,
140,G-ASM-1996,ASM,54209.0,,,,,,,,,,,,,,,,,,,
141,G-ASM-1997,ASM,55227.0,,,,,,,,,,,,,,,,,,,
142,G-ASM-1998,ASM,56180.0,,,,,,,,,,,,,,,,,,,
143,G-ASM-1999,ASM,57049.0,,,,,,,,,,,,,,,,,,,
144,G-ASM-2000,ASM,57816.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
145,G-ASM-2001,ASM,58496.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
146,G-ASM-2002,ASM,59077.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.0
147,G-ASM-2003,ASM,59495.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
148,G-ASM-2004,ASM,59684.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
149,G-ASM-2005,ASM,59557.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
150,G-ASM-2006,ASM,59109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
151,G-ASM-2007,ASM,58367.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
152,G-ASM-2008,ASM,57490.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,0.0
153,G-ASM-2009,ASM,56675.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.0
154,G-ASM-2010,ASM,56084.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
155,G-ASM-2011,ASM,55755.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
156,G-ASM-2012,ASM,55669.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
157,G-ASM-2013,ASM,55717.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
158,G-ASM-2014,ASM,55791.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
159,G-ASM-2015,ASM,55806.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
160,G-ASM-2016,ASM,55739.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.0
161,G-ASM-2017,ASM,55617.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.0
162,G-ASM-2018,ASM,55461.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
163,G-ASM-2019,ASM,55312.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.0
164,G-ASM-2020,ASM,55197.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.0
165,G-AGO-1980,AGO,8341290.0,10330398720.0,,,,,,,,,,,,,,,,,,
166,G-AGO-1981,AGO,8640478.0,10119853056.0,,,,,,,,,,,,,,,,,,
167,G-AGO-1982,AGO,8952971.0,9643454464.0,,,,,,,,,,,,,,,,,,
168,G-AGO-1983,AGO,9278104.0,9325808640.0,,,,,,,,,,,,,,,,,,
169,G-AGO-1984,AGO,9614756.0,9370042368.0,,,,,,,,,,,,,,,,,,
170,G-AGO-1985,AGO,9961993.0,9420208128.0,,,,,,,,,,,,,,,,,,
171,G-AGO-1986,AGO,10320116.0,8569987072.0,,,,,,,,,,,,,,,,,,
